"","id","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","Name","K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"7548","IL27",4,0.61198,0.57385,0.894736,12051,1,-0.093974,0.87866,0.89583,0.999927,16747,0,-0.093974,"ENSG00000197272.2",0.0130822
"7549","IL27RA",4,0.7058,0.65973,0.925563,13501,1,0.0018656,0.84816,0.85457,0.999927,16183,0,0.0018656,"ENSG00000104998.2",9.05817
"7550","IL2RA",4,0.21758,0.28562,0.820598,6475,2,-0.23891,0.86377,0.88024,0.999927,16466,0,-0.23891,"ENSG00000134460.11",0.169968
"7551","IL2RB",4,0.016849,0.039327,0.728574,912,2,-0.46421,0.21192,0.34437,0.999927,6257,1,-0.46421,"ENSG00000100385.9",0.649895
"7552","IL2RG",4,0.18595,0.26778,0.820598,5730,2,-0.19184,0.47163,0.5591,0.999927,10230,1,-0.19184,"ENSG00000147168.8",10.0413
"7553","IL3",4,0.48678,0.50496,0.894736,10449,1,0.18175,0.22782,0.36547,0.999927,6611,2,0.18175,"ENSG00000164399.4",0.284818
"7554","IL31",4,0.22749,0.29444,0.820598,6694,1,-0.12793,0.73149,0.74408,0.999927,13959,1,-0.12793,"ENSG00000204671.1",0.0091894
"7555","IL31RA",4,0.79767,0.75119,0.940999,15244,0,0.093589,0.40923,0.52206,0.999927,9567,1,0.093589,"ENSG00000164509.9",0.007552
"7556","IL32",4,0.78656,0.73518,0.932695,15012,0,0.28918,0.099507,0.20501,0.949041,3727,2,0.28918,"ENSG00000008517.12",0.762628
"7557","IL33",4,0.086356,0.16587,0.820598,3513,2,-0.268,0.85814,0.86923,0.999927,16362,0,-0.268,"ENSG00000137033.7",0.0359842
"7558","IL34",4,0.52984,0.52474,0.894736,10976,1,-0.23791,0.96133,0.97367,0.999927,18340,0,-0.23791,"ENSG00000157368.6",0.0748772
"7559","IL36A",4,0.056107,0.10677,0.814067,2495,3,-0.56319,0.92628,0.94007,0.999927,17665,0,-0.56319,"ENSG00000136694.8",0
"7560","IL36B",4,0.91414,0.88485,0.968503,17462,0,0.071578,0.60912,0.64027,0.999927,11978,1,0.071578,"ENSG00000136696.6",0
"7561","IL36G",4,0.2276,0.29444,0.820598,6697,1,0.13774,0.11729,0.21915,0.949041,4144,2,0.13774,"ENSG00000136688.6",0
"7562","IL36RN",4,0.021041,0.045914,0.728574,1083,2,-0.6916,0.96379,0.97396,0.999927,18396,0,-0.6916,"ENSG00000136695.10",0.0075543
"7563","IL37",4,0.54535,0.53306,0.894736,11166,1,-0.21753,0.14431,0.24295,0.949041,4751,1,-0.21753,"ENSG00000125571.5",0.108914
"7564","IL3RA",3,0.59576,0.54584,0.894736,11834,1,-0.13439,0.18328,0.30735,0.999927,5634,1,-0.13439,"ENSGR0000185291.6",0
"7565","IL3RA",3,0.59576,0.54584,0.894736,11834,1,-0.13439,0.18328,0.30735,0.999927,5634,1,-0.13439,"ENSG00000185291.6",0.0389552
"7566","IL4",4,0.21853,0.28562,0.820598,6499,2,0.0055236,0.17559,0.28091,0.980731,5472,2,0.0055236,"ENSG00000113520.6",0.0231721
"7567","IL4I1",4,0.51729,0.52146,0.894736,10812,1,-0.17232,0.078258,0.16639,0.949041,3237,1,-0.17232,"ENSG00000104951.11",0.141748
"7568","IL4R",4,0.65957,0.59872,0.894736,12763,1,0.070218,0.42368,0.52918,0.999927,9734,1,0.070218,"ENSG00000077238.9",2.35849
"7569","IL5",4,0.0036531,0.007935,0.563324,252,3,-1.2796,0.66911,0.69292,0.999927,12895,1,-1.2796,"ENSG00000113525.5",0.0254043
"7570","IL5RA",4,0.21814,0.28562,0.820598,6487,1,0.35993,0.027564,0.071916,0.949041,1355,3,0.35993,"ENSG00000091181.15",0.0467388
"7571","IL6",4,0.57383,0.55259,0.894736,11557,1,0.093618,0.13004,0.23504,0.949041,4427,1,0.093618,"ENSG00000136244.7",1.07318
"7572","IL6R",4,0.13495,0.2189,0.820598,4608,1,0.19233,0.25028,0.39653,0.999927,7112,2,0.19233,"ENSG00000160712.8",0.395581
"7573","IL6ST",4,0.69498,0.64488,0.923574,13334,1,0.0081662,0.80018,0.80916,0.999927,15261,0,0.0081662,"ENSG00000134352.15",3.409
"7574","IL7",4,0.79106,0.73664,0.932695,15101,0,0.0012366,0.086988,0.18456,0.949041,3437,1,0.0012366,"ENSG00000104432.8",0.0205333
"7575","IL7R",4,0.84903,0.80315,0.943623,16240,0,0.25423,0.15078,0.24869,0.949041,4903,2,0.25423,"ENSG00000168685.10",0.0459835
"7576","IL9",4,0.20725,0.27872,0.820598,6250,1,0.024994,0.41842,0.52633,0.999927,9670,1,0.024994,"ENSG00000145839.1",0
"7577","IL9R",4,0.11546,0.20039,0.820598,4165,2,-0.31118,0.45546,0.5549,0.999927,10050,1,-0.31118,"ENSGR0000124334.12",0
"7578","IL9R",4,0.11546,0.20039,0.820598,4165,2,-0.31118,0.45546,0.5549,0.999927,10050,1,-0.31118,"ENSG00000124334.12",0.583893
"7579","ILDR1",4,0.17214,0.25151,0.820598,5421,2,-0.19824,0.064775,0.15023,0.949041,2822,1,-0.19824,"ENSG00000145103.8",0.0225051
"7580","ILDR2",4,0.90689,0.87674,0.96643,17326,0,0.014352,0.84418,0.84777,0.999927,16115,0,0.014352,"ENSG00000143195.8",0.064187
"7581","ILF2",4,0.50148,0.50991,0.894736,10621,1,0.19658,0.025939,0.070007,0.949041,1294,1,0.19658,"ENSG00000143621.12",144.72
"7582","ILF3",4,0.067326,0.13021,0.820598,2926,3,-0.30229,0.82589,0.82921,0.999927,15739,0,-0.30229,"ENSG00000129351.13",53.9118
"7583","ILK",4,0.066192,0.12751,0.820598,2879,2,-0.39317,0.18859,0.3052,0.999927,5755,2,-0.39317,"ENSG00000166333.9",24.3662
"7584","ILKAP",4,0.50015,0.50991,0.894736,10606,1,-0.11426,0.3664,0.49942,0.999927,9123,1,-0.11426,"ENSG00000132323.4",11.0952
"7585","ILVBL",4,0.89574,0.86815,0.96551,17102,0,0.22976,0.00049415,0.0013739,0.748856,33,2,0.22976,"ENSG00000105135.11",9.97558
"7586","IMMP1L",4,0.82544,0.78076,0.941928,15804,0,0.082399,0.7908,0.79851,0.999927,15080,0,0.082399,"ENSG00000148950.5",8.15802
"7587","IMMP2L",4,0.67537,0.61508,0.904125,13000,1,-0.027266,0.61135,0.64171,0.999927,12008,1,-0.027266,"ENSG00000184903.5",10.65
"7588","IMMT",4,0.35636,0.41616,0.865798,9104,1,-0.0065999,0.63118,0.65441,0.999927,12299,1,-0.0065999,"ENSG00000132305.16",67.2967
"7589","IMP3",4,0.73045,0.6828,0.930807,13947,1,0.01358,0.58009,0.61451,0.999927,11558,1,0.01358,"ENSG00000177971.7",23.9487
"7590","IMP4",4,0.9367,0.91937,0.98232,17887,0,0.25199,0.033061,0.088395,0.949041,1579,2,0.25199,"ENSG00000136718.5",30.5684
"7591","IMPA1",4,0.90584,0.8759,0.96643,17304,0,0.44615,0.022598,0.064771,0.949041,1140,2,0.44615,"ENSG00000133731.5",14.5197
"7592","IMPA2",4,0.56418,0.54599,0.894736,11424,1,0.10824,0.83445,0.8366,0.999927,15912,0,0.10824,"ENSG00000141401.7",5.48935
"7593","IMPACT",4,0.7975,0.75119,0.940999,15237,0,-0.0091168,0.34401,0.49104,0.999927,8920,1,-0.0091168,"ENSG00000154059.5",8.52189
"7594","IMPAD1",4,0.31161,0.38188,0.850105,8529,1,-0.15327,0.001222,0.0034603,0.748856,82,1,-0.15327,"ENSG00000104331.4",13.1708
"7595","IMPDH1",3,0.75652,0.70419,0.932695,14450,0,0.44607,0.1604,0.26624,0.965379,5121,2,0.44607,"ENSG00000106348.12",27.5714
"7596","IMPDH2",4,0.66729,0.60368,0.896067,12880,1,-0.23818,0.37104,0.50224,0.999927,9167,1,-0.23818,"ENSG00000178035.7",173.369
"7597","IMPG1",4,0.12794,0.21127,0.820598,4454,2,-0.18201,0.81966,0.82275,0.999927,15615,0,-0.18201,"ENSG00000112706.7",0.0094461
"7598","IMPG2",4,0.085873,0.16328,0.820598,3500,2,-0.3854,0.24853,0.39653,0.999927,7068,1,-0.3854,"ENSG00000081148.11",0.560988
"7599","INA",4,0.96225,0.94933,0.987983,18369,0,0.26098,0.26607,0.41758,0.999927,7467,2,0.26098,"ENSG00000148798.5",0.167121
"7600","INADL",4,0.80604,0.76221,0.941928,15424,0,0.095879,0.73715,0.74989,0.999927,14072,1,0.095879,"ENSG00000132849.14",0.0244915
"7601","INCA1",4,0.295,0.36505,0.846967,8164,2,-0.21264,0.90894,0.92654,0.999927,17355,0,-0.21264,"ENSG00000196388.4",0.5476
"7602","INCENP",4,0.4193,0.46049,0.894736,9694,1,0.67402,0.0048037,0.013395,0.748856,312,2,0.67402,"ENSG00000149503.8",16.378
"7603","INF2",4,0.19503,0.27301,0.820598,5952,1,-0.22118,0.26606,0.41758,0.999927,7466,1,-0.22118,"ENSG00000203485.8",5.23849
"7604","ING1",4,0.26592,0.33001,0.834089,7527,2,-0.11845,0.66786,0.69005,0.999927,12875,1,-0.11845,"ENSG00000153487.11",3.83308
"7605","ING2",4,0.80082,0.75812,0.940999,15322,0,0.18937,0.23189,0.37209,0.999927,6697,2,0.18937,"ENSG00000168556.5",5.43522
"7606","ING3",3,0.71026,0.66232,0.928094,13585,0,-0.16383,0.92627,0.9421,0.999927,17664,0,-0.16383,"ENSG00000071243.11",13.0741
"7607","ING4",4,0.49259,0.50823,0.894736,10520,1,-0.078208,0.53509,0.59055,0.999927,11006,1,-0.078208,"ENSG00000111653.15",13.0152
"7608","ING5",4,0.92885,0.91118,0.981232,17740,0,0.23968,0.15888,0.25759,0.964154,5087,2,0.23968,"ENSG00000168395.10",4.52281
"7609","INHA",4,0.70725,0.65973,0.925563,13532,1,0.073675,0.27195,0.42186,0.999927,7587,2,0.073675,"ENSG00000123999.4",0.819821
"7610","INHBA",4,0.9648,0.95385,0.990037,18420,0,0.30541,0.083188,0.1771,0.949041,3348,2,0.30541,"ENSG00000122641.9",0.0110292
"7611","INHBB",4,0.019085,0.043965,0.728574,1009,1,0.53197,0.031186,0.083818,0.949041,1508,3,0.53197,"ENSG00000163083.5",0.0414842
"7612","INHBC",3,0.87823,0.85456,0.96551,16788,0,0.01496,0.095926,0.16238,0.949041,3641,1,0.01496,"ENSG00000175189.3",0.921633
"7613","INHBE",4,0.42003,0.46211,0.894736,9703,1,-0.075472,0.43553,0.54204,0.999927,9849,1,-0.075472,"ENSG00000139269.2",50.2262
"7614","INIP",4,0.087205,0.16903,0.820598,3535,2,-0.36493,0.92991,0.94247,0.999927,17739,0,-0.36493,"ENSG00000148153.9",12.5162
"7615","INMT",4,0.51244,0.51488,0.894736,10755,1,-0.064972,0.84154,0.84475,0.999927,16067,0,-0.064972,"ENSG00000241644.2",0.0520828
"7616","INO80",4,0.91732,0.88964,0.970131,17520,0,0.41268,0.013072,0.034846,0.91906,721,2,0.41268,"ENSG00000128908.11",7.58245
"7617","INO80B",4,0.69191,0.63824,0.917913,13282,1,0.11465,0.26899,0.42186,0.999927,7525,2,0.11465,"ENSG00000115274.10",10.7943
"7618","INO80C",4,0.51815,0.52146,0.894736,10826,1,-0.19144,0.6411,0.66154,0.999927,12455,1,-0.19144,"ENSG00000153391.11",3.34562
"7619","INO80D",4,0.59365,0.56555,0.894736,11808,1,-0.18369,0.49874,0.57479,0.999927,10563,1,-0.18369,"ENSG00000114933.11",1.26936
"7620","INO80E",4,0.64326,0.58702,0.894736,12496,1,0.36043,0.040982,0.10137,0.949041,1904,2,0.36043,"ENSG00000169592.10",12.1854
"7621","INPP1",3,0.74269,0.68927,0.93211,14166,0,-0.25319,0.81319,0.84152,0.999927,15482,0,-0.25319,"ENSG00000151689.8",0.919788
"7622","INPP4A",4,0.86204,0.82262,0.953126,16482,0,-0.095829,0.91883,0.93302,0.999927,17535,0,-0.095829,"ENSG00000040933.11",4.37029
"7623","INPP4B",4,0.17617,0.25632,0.820598,5508,2,-0.29176,0.88327,0.9016,0.999927,16841,0,-0.29176,"ENSG00000109452.8",0.0088758
"7624","INPP5A",4,0.10813,0.19201,0.820598,4010,1,0.47589,0.00088603,0.0027548,0.748856,60,2,0.47589,"ENSG00000068383.14",4.03977
"7625","INPP5B",4,0.34215,0.40803,0.865158,8982,1,0.17788,0.23102,0.37209,0.999927,6680,2,0.17788,"ENSG00000204084.8",6.6955
"7626","INPP5D",4,0.17632,0.25632,0.820598,5510,2,-0.25146,0.77173,0.78858,0.999927,14724,0,-0.25146,"ENSG00000168918.9",1.00285
"7627","INPP5E",4,0.029201,0.062778,0.728574,1418,2,-0.31357,0.095438,0.19525,0.949041,3632,1,-0.31357,"ENSG00000148384.11",8.35616
"7628","INPP5F",4,0.75793,0.71061,0.932695,14482,0,0.11253,0.41773,0.52633,0.999927,9658,1,0.11253,"ENSG00000198825.7",2.78071
"7629","INPP5J",4,0.75316,0.70741,0.932695,14390,0,0.24795,0.098285,0.20062,0.949041,3699,2,0.24795,"ENSG00000185133.9",2.93767
"7630","INPP5K",4,0.5586,0.54283,0.894736,11353,1,0.11727,0.51216,0.58331,0.999927,10726,1,0.11727,"ENSG00000132376.15",5.66978
"7631","INPPL1",4,0.12105,0.20496,0.820598,4288,1,0.30992,0.19511,0.31486,0.999927,5904,2,0.30992,"ENSG00000165458.9",30.33
"7632","INS",4,0.76397,0.71537,0.932695,14606,0,0.27622,0.27683,0.43461,0.999927,7696,2,0.27622,"ENSG00000254647.2",0
"7633","INS-IGF2",4,0.99315,0.99218,0.999296,18957,0,0.3972,0.045617,0.10795,0.949041,2069,3,0.3972,"ENSG00000129965.9",0
