"","x"
"545","KRT17"
"546","ASB1"
"547","ASB3"
"548","ASB4"
"549","FTSJ1"
"550","NOTUM"
"551","RPL39P5"
"552","FBXL8"
"553","WIPI2"
"554","TBL2"
"555","PRR16"
"556","FOLH1"
"557","FBXO22"
"558","FSTL3"
"559","SOCS5"
"560","CLUH"
"561","OBSL1"
"562","HIF3A"
"563","KLHL20"
"564","PUM1"
"565","LSM14A"
"566","ZC3H12A"
"567","FBXO15"
"568","SPSB4"
"569","AARS2"
"570","KLHL21"
"571","FBXO2"
"572","CDH2"
"573","SERPINA10"
"574","FBXL7"
"575","RAB5A"
"576","RAB3A"
"577","COPS7A"
"578","BTRC"
"579","FBXO10"
"580","POLR2G"
"581","RPL14"
"582","PSMA4"
"583","GRB7"
"584","IL6"
"585","CAPRIN1"
"586","PSMC2"
"587","C12orf65"
"588","PAIP2B"
"589","DNAJC24"
"590","RPS23"
"591","RPS14"
"592","MRPL3"
"593","RPS16"
"594","KLHL2"
"595","NDUFA7"
"596","URS00003FE4D4_9606"
"597","URS0000338542_9606"
"598","URS000016FF9C_9606"
"599","URS00004AD914_9606"
"600","URS00004E0808_9606"
"601","URS00000F6E49_9606"
"602","URS000039ED8D_9606"
"603","URS00002C6949_9606"
"604","URS00003DA300_9606"
"605","URS00005416E3_9606"
"606","URS00005743AE_9606"
"607","URS00003BBF48_9606"
"608","URS000075C04A_9606"
"609","URS00003D1AE3_9606"
"610","URS000050B527_9606"
"611","URS000020BE6A_9606"
"612","URS00004BCD9C_9606"
"613","URS000032BD73_9606"
"614","URS000043D1A9_9606"
"615","URS00005A31EB_9606"
"616","URS000029D9F1_9606"
"617","URS00001A5F54_9606"
"618","URS0000527F89_9606"
"619","URS0000170CF4_9606"
"620","URS00004BAA8A_9606"
"621","URS0000070B1D_9606"
"622","URS0000416056_9606"
"623","URS0000236310_9606"
"624","URS00003B95DA_9606"
"625","URS00004449AE_9606"
"626","URS00001A405B_9606"
"627","URS000003575B_9606"
"628","URS000001C659_9606"
"629","URS00000ED701_9606"
"630","URS000009262D_9606"
"631","URS0000192F9C_9606"
"632","URS00003768C5_9606"
"633","URS000017DBB8_9606"
"634","URS000059311D_9606"
"635","URS00001DC04F_9606"
"636","URS000055128B_9606"
"637","URS0000574A2C_9606"
"638","URS00002F4D78_9606"
"639","URS000005D4F5_9606"
"640","URS000040780F_9606"
"641","URS0000209905_9606"
"642","URS000024463E_9606"
"643","URS00003E47B1_9606"
"644","URS00001CC379_9606"
"645","URS00004208C5_9606"
"646","URS00003EDD3D_9606"
"647","URS000075B982_9606"
"648","URS00003676C9_9606"
"649","URS00003E7283_9606"
"650","URS00001230A0_9606"
"651","URS0000476BE1_9606"
"652","URS000013D17D_9606"
"653","URS00005CACA0_9606"
"654","URS0000605E00_9606"
"655","URS000020D84A_9606"
"656","URS00006054DA_9606"
"657","URS0000446722_9606"
"658","URS00001D6BAE_9606"
"659","URS000075E8F5_9606"
"660","URS00000E5433_9606"
"661","URS00002075FA_9606"
"662","URS0000272A92_9606"
"663","URS0000272039_9606"
"664","URS000014D9C1_9606"
"665","URS000075BB59_9606"
"666","DHX29"
"667","FBXO30"
"668","DRG2"
"669","FEM1B"
"670","IGHMBP2"
"671","LIN28A"
"672","TACO1"
"673","KLHL5"
"674","ZNF385A"
"675","PER2"
"676","COPS7B"
"677","EIF2AK2"
"678","RNF139"
"679","SKP1"
"680","MTPN"
"681","RPS6KA3"
"682","ZFP36"
"683","TNF"
"684","EEF1G"
"685","ELOB"
"686","MGAT4A"
"687","ELOC"
"688","PCBP2"
"689","GRM5"
"690","LRRC41"
"691","STC2"
"692","RPL17-C18orf32"
"693","NPM1"
"694","RPL7"
"695","DTD1"
"696","RHBDD1"
"697","RAB11B"
"698","PADI6"
"699","PER1"
"700","PSME2"
"701","DCAF16"
"702","MRPL43"
"703","ROCK2"
"704","abeta-42-oligomer_human"
"705","crd-mrna_human"
"706","mcrd-polya-bridging_human"
"707","atg5-atg12_human"
"708","erf1-erf3_human"
"709","slbp_slip1_human"
"710","MRPS34"
"711","RPS6KB2"
"712","MRPS21"
"713","MRPS11"
"714","EIF3K"
"715","MRPS36"
"716","FBXW4"
"717","RTRAF"
"718","CRTAP"
"719","AHSG"
"720","FBXW11"
"721","DAPK3"
"722","SECISBP2L"
"723","VWA1"
"724","ASB8"
"725","WEE2"
"726","KBTBD7"
"727","Q56UQ5"
"728","AGBL1"
"729","P3H1"
"730","FBXL18"
"731","TULP4"
"732","FMR1"
"733","EIF4ENIF1"
"734","ZCCHC4"
"735","FTO"
"736","UNK"
"737","NSUN3"
"738","RPL26L1"
"739","CNOT6L"
"740","IGFBP4"
"741","ANGEL1"
"742","FBXL4"
"743","FBXL5"
"744","ATG5"
"745","PSME1"
"746","EIF3L"
"747","FBXO9"
"748","DRG1"
"749","RBBP7"
"750","FOXO3"
"751","MRPL23"
"752","RPL35"
"753","CP"
"754","RPL10"
"755","ANKRD9"
"756","RPS19"
"757","CHCHD1"
"758","TRMT112"
"759","DCAF10"
"760","RPS4Y1"
"761","OTX2"
"762","RPL6"
"763","BMP15"
"764","DDX25"
"765","COP1"
"766","CNOT8"
"767","RPLP0P6"
"768","ERAL1"
"769","RPL34"
"770","FBXO27"
"771","ITGA2"
"772","RSL24D1"
"773","RIDA"
"774","MIA3"
"775","AGBL4"
"776","PSMB3"
"777","SARNP"
"778","FEM1C"
"779","FN3K"
"780","FBXL15"
"781","RWDD1"
"782","AMBN"
"783","DCAF5"
"784","F5"
"785","ECPAS"
"786","CNOT6"
"787","SERPIND1"
"788","GATB"
"789","PIWIL1"
"790","APLP2"
"791","EIF3G"
"792","MCTS1"
"793","PPP1R15A"
"794","MFSD11"
"795","AIRE"
"796","PPA2"
"797","CNOT11"
"798","FBXW2"
"799","FBXL3"
"800","FBXL21P"
"801","FBXO4"
"802","HIF1A"
"803","EIF4G3"
"804","MTIF3"
"805","AGO1"
"806","TGOLN2"
"807","GAN"
"808","ASB16"
"809","SOX4"
"810","MRPL57"
"811","DPH2"
"812","THBS1"
"813","BMP4"
"814","SAMD4A"
"815","LAMB1"
"816","FBXL19"
"817","FBXO6"
"818","IARS2"
"819","RBM4B"
"820","GIGYF2"
"821","MARS2"
"822","PNPLA2"
"823","CCDC8"
"824","CALR"
"825","TMA7"
"826","IRGM"
"827","RAB1B"
"828","CNOT7"
"829","EGFR"
"830","DCUN1D1"
"831","RAB1A"
"832","RBM34"
"833","P4HB"
"834","BCL3"
"835","KLHL25"
"836","PSMD5"
"837","DHPS"
"838","MRPS16"
"839","DDB2"
"840","PCIF1"
"841","RPL10L"
"842","YTHDF3"
"843","TNRC6B"
"844","MEPE"
"845","TIAL1"
"846","MTG2"
"847","DNAJC1"
"848","H3BNC9"
"849","DPH3P1"
"850","ZFP36L2"
"851","CD28"
"852","MTRF1"
"853","DPH3"
"854","LCMT1"
"855","VARS2"
"856","VARS2"
"857","NCK2"
"858","SPSB1"
"859","PAIP1"
"860","CDKAL1"
"861","RPL36"
"862","MEN1"
"863","HSPB1"
"864","PSMD9"
"865","CUL9"
