"","x"
"GPR156",2
"GPR21",2
"GPR3",2
"GPR65",2
"GPR75-ASB3",2
"GPR78",2
"GPR85",2
"GPRASP1",2
"GRB2",2
"GRB7",2
"GREB1",2
"GRIA1",2
"GRIK4",2
"GRIPAP1",2
"GRPEL1",2
"GRWD1",2
"GSG2",2
"GSTM3",2
"GTF2H2",2
"GTF2H5",2
"GTF2IRD2",2
"GTPBP8",2
"GUCA1A",2
"GUSB",2
"H2AFB3",2
"H2AFY",2
"HAGH",2
"HAX1",2
"HCAR3",2
"HCN4",2
"HCST",2
"HDAC5",2
"HDHD3",2
"HENMT1",2
"HERC1",2
"HEXB",2
"HFE",2
"HIC1",2
"HIP1R",2
"HIST1H1A",2
"HIST1H1E",2
"HIST1H2BO",2
"HIST2H2AB",2
"HIST2H2BE",2
"HIVEP2",2
"HKDC1",2
"HLA-E",2
"HMBOX1",2
"HMBS",2
"HMGB1",2
"HMGCR",2
"HMGN4",2
"HNMT",2
"HNRNPL",2
"HOXA7",2
"HRCT1",2
"HRK",2
"HS6ST2",2
"HSD11B1",2
"HSD17B1",2
"HSPA2",2
"HSPB7",2
"HTN1",2
"HUNK",2
"HUS1",2
"HYAL1",2
"ICAM5",2
"ID1",2
"IDE",2
"IDH3G",2
"IDO2",2
"IFFO2",2
"IFI30",2
"IFNA2",2
"IFNLR1",2
"IFNW1",2
"IFT122",2
"IFT81",2
"IGFBP1",2
"IGSF1",2
"IGSF3",2
"IKBKE",2
"IKBKG",2
"IKZF2",2
"IL10RA",2
"IL12B",2
"IL12RB2",2
"IL13",2
"IL17RD",2
"IL36G",2
"IL4",2
"ILF2",2
"IMP3",2
"IMPA1",2
"INA",2
"INCENP",2
"ING5",2
"INPP5A",2
"INS-IGF2",2
"INSIG1",2
"INSRR",2
"INTS2",2
"IQCC",2
"IQCH",2
"IQSEC1",2
"IREB2",2
"IRF6",2
"ISL1",2
"ISOC1",2
"ISOC2",2
"ITFG2",2
"ITGAD",2
"ITGB1",2
"JAKMIP1",2
"JARID2",2
"JTB",2
"KANK4",2
"KANSL1",2
"KANSL2",2
"KANSL3",2
"KATNAL1",2
"KBTBD11",2
"KBTBD2",2
"KCNC4",2
"KCNH2",2
"KCNH5",2
"KCNJ14",2
"KCNK2",2
"KCNN3",2
"KCNS3",2
"KCTD19",2
"KCTD2",2
"KCTD20",2
"KCTD4",2
"KCTD8",2
"KDF1",2
"KHK",2
"KIAA0101",2
"KIAA0141",2
"KIAA0408",2
"KIAA0513",2
"KIAA1033",2
"KIAA1429",2
"KIAA1671",2
"KIF16B",2
"KIF1BP",2
"KIF26B",2
"KIF2A",2
"KLC4",2
"KLHDC10",2
"KLHL13",2
"KLHL25",2
"KLHL26",2
"KLHL32",2
"KLHL6",2
